CustomerID,Cohort,Y2016Q1,Y2016Q2,Y2016Q3,Y2016Q4,Y2017Q1,Y2017Q2,Y2017Q3,Y2017Q4,Y2018Q1,Y2018Q2,Y2018Q3,Y2018Q4,Y2019Q1,Y2019Q2,Y2019Q3,Y2019Q4
65,pre_y2016,0,0,0,31.37,0,0,0,0,0,0,0,28.13,11.9,37.64,0,0
66,pre_y2016,0,0,0,89.04,0,0,0,0,0,0,0,0,0,0,0,0
67,pre_y2016,25.1,53.26,47.52,96.73,0,38.99,0,0,0,86.62,0,0,0,0,0,0
68,pre_y2016,0,0,0,0,0,0,0,17.86,0,0,0,0,0,12.48,0,58.51
69,pre_y2016,0,0,59.08,55.3,0,0,0,101.4,0,0,12.26,0,0,0,0,-1.26
70,pre_y2016,0,0,134.37,30.92,0,0,0,0,0,0,0,0,0,0,0,0
71,pre_y2016,0,0,0,0,40.87,0,0,0,0,0,0,0,0,0,0,3.78
72,pre_y2016,76.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,pre_y2016,0,0,13.76,44.22,0,0,41.33,29.52,43.27,18.17,34.49,26.07,0,0,31.99,0
74,pre_y2016,12.02,0,0,0,0,0,0,0,0,0,0,5.27,0,0,0,0
75,pre_y2016,0,0,26.18,0,0,0,46.75,56.86,0,0,94.15,19.01,0,56.9,0,0
76,pre_y2016,0,0,0,104.06,0,0,0,0,0,0,0,0,0,0,0,0
77,pre_y2016,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0
78,pre_y2016,0,0,0,0,0,0,10.47,9.36,0,13.51,0,0,0,0,0,0
79,pre_y2016,0,0,0,0,0,0,63.82,0,0,0,0,0,0,0,0,0
80,pre_y2016,94.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,pre_y2016,80.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,pre_y2016,0,0,0,78.37,0,0,0,0,15.85,0,0,0,0,0,0,0
83,pre_y2016,0,23.51,13.35,0,0,0,92.78,0,0,0,0,20.58,0,28.67,0,0
84,pre_y2016,0,100.23,0,12.35,0,0,0,0,0,0,0,0,0,0,0,45.33
85,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.18,0
86,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,1.44,0,0,0,0
87,pre_y2016,0,0,0,7.72,0,0,0,0,0,0,0,0,0,0,0,0
88,pre_y2016,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,pre_y2016,0,0,0,618.42,66.81,127.64,0,152.54,0,72.2,0,162.01,0,13.23,15.95,84.46
90,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,86.19,0,0,0,0
91,pre_y2016,64.28,0,2.93,0,0,0,0,82.71,12.41,0,0,0,0,50.54,0,69.71
92,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,111.29,0,55.4,0,0
93,pre_y2016,0,0,124.99,96.71,11.85,0,0,37.85,0,0,47.22,51.77,0,0,0,158
94,pre_y2016,0,65.5,0,0,0,115.91,0,0,0,33.1,0,23.59,0,0,37.32,23.69
95,pre_y2016,0,0,0,38.76,0,0,0,27.18,0,0,0,0,0,0,0,0
96,pre_y2016,0,0,0,6.29,0,4.77,4,0,0,5.51,0,0,0,8.03,24.57,7.53
97,pre_y2016,0,0,0,140.97,0,0,0,0,61.44,0,0,74.7,0,0,0,62.59
98,pre_y2016,0,0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0
99,pre_y2016,10.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,pre_y2016,0,98.1,0,0,26.97,0,0,0,0,0,0,0,0,0,0,0
101,pre_y2016,0,19.39,34.06,263.9,72.58,144.71,91.35,65.86,15.84,154.68,0,55.31,108.82,30.21,0,24.24
102,pre_y2016,0,0,68.1,0,0,21.66,0,0,0,0,0,0,93.11,0,41.86,319.6
103,pre_y2016,0,142.73,205.12,0,0,60.7,49.55,21.22,10.06,85.28,24.55,0,0,0,53.83,0
104,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.73
105,pre_y2016,0,0,0,0,0,18.65,0,0,0,0,0,0,0,0,77.45,0
106,pre_y2016,37.39,0.34,42.83,5.4,0,23.94,13.08,19.98,0,0,0,58,0,0,260.75,17.52
107,pre_y2016,20.64,35.57,0,20.5,0,0,0,0,0,0,26.31,0,78.76,38.51,0,0
108,pre_y2016,0,0,0,0,123.89,0,0,0,0,0,0,0,0,0,0,0
109,pre_y2016,0,0,69.41,0,0,0,0,85.05,0,0,0,0,0,0,0,0
110,pre_y2016,0,0,0,0,0,0,0,0.47,0,0,0,0,0,0,0,0
111,pre_y2016,0,0,0,161.15,102.89,0,0,0,0,0,0,0,0,0,0,0
112,pre_y2016,0,0,0,64.39,52.21,0,0,0,0,89.4,0,46.55,0,0,0,0
113,pre_y2016,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
114,pre_y2016,0,0,4.92,53.33,0,53.03,0,11.82,0,0,6.39,97.01,2.23,0,0,44.7
115,pre_y2016,0,0,0,0,0,0,0,125.07,0,0,86.01,0,0,0,0,0
116,pre_y2016,0,0,0,0,0,0,0,0,0,0,13.04,0,0,0,0,0
117,pre_y2016,0,0,0,0,4.41,0,0,4.21,0,0,0,0,0,0,0,0
118,pre_y2016,0,0,0,0,0,0,0,104.45,0,0,0,49.93,0,0,0,0
119,pre_y2016,0,0,0,89.63,0,0,0,0,0,0,0,0,0,0,0,108.08
120,pre_y2016,0,0,0,0,0,22.82,0,12.19,0,0,0,0,6.08,0,0,0
121,pre_y2016,34.71,0,101.12,0,0,0,65.97,0,0,29.02,0,14.99,0,0,110.28,0
122,pre_y2016,0,8.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,pre_y2016,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0,0
124,pre_y2016,0,0,0,26.39,0,0,0,0,32.59,0,26.12,0,0,0,0,0
125,pre_y2016,0,0,0,0,0,35.82,0,42.67,0,0,0,0,0,0,0,0
