CustomerID,Cohort,Y2016Q1,Y2016Q2,Y2016Q3,Y2016Q4,Y2017Q1,Y2017Q2,Y2017Q3,Y2017Q4,Y2018Q1,Y2018Q2,Y2018Q3,Y2018Q4,Y2019Q1,Y2019Q2,Y2019Q3,Y2019Q4
66,pre_y2016,0,0,0,155.99,0,0,0,0,0,0,0,0,0,0,0,0
67,pre_y2016,61.18,86.52,77.98,197.64,0,63,0,0,0,154.83,0,0,0,0,0,0
68,pre_y2016,0,0,0,0,0,0,0,51,0,0,0,0,0,27.91,0,162.32
69,pre_y2016,0,0,136.76,99,0,0,0,199.16,0,0,21.59,0,0,0,0,14.99
70,pre_y2016,0,0,267.35,50.4,0,0,0,0,0,0,0,0,0,0,0,0
71,pre_y2016,0,0,0,0,166.88,0,0,0,0,0,0,0,0,0,0,17.69
72,pre_y2016,143.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,pre_y2016,0,0,31.48,82.79,0,0,78,60,79.2,39.41,61.19,48,0,0,64.8,0
74,pre_y2016,32.39,0,0,0,0,0,0,0,0,0,0,11.99,0,0,0,0
75,pre_y2016,0,0,58.49,0,0,0,99.58,124.2,0,0,192.77,33.32,0,136.68,0,0
76,pre_y2016,0,0,0,187.2,0,0,0,0,0,0,0,0,0,0,0,0
77,pre_y2016,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
78,pre_y2016,0,0,0,0,0,0,17.84,21.6,0,45.52,0,0,0,0,0,0
79,pre_y2016,0,0,0,0,0,0,125.65,0,0,0,0,0,0,0,0,0
80,pre_y2016,158.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,pre_y2016,134.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,pre_y2016,0,0,0,147.6,0,0,0,0,34.79,0,0,0,0,0,0,0
83,pre_y2016,0,68.39,32.38,0,0,0,219.96,0,0,0,0,35.99,0,73.55,0,0
84,pre_y2016,0,260.33,0,27,0,0,0,0,0,0,0,0,0,0,0,89.99
85,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.96,0
86,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,17.99,0,0,0,0
87,pre_y2016,0,0,0,37.79,0,0,0,0,0,0,0,0,0,0,0,0
88,pre_y2016,22.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,pre_y2016,0,0,0,1566,126,325.73,0,296.11,0,150.48,0,397.06,0,50.99,49.98,148.8
90,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,165.6,0,0,0,0
91,pre_y2016,145.14,0,7.19,0,0,0,0,179.95,29.99,0,0,0,0,107.96,0,148.16
92,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,237.88,0,129.68,0,0
93,pre_y2016,0,0,258.72,197.98,29.99,0,0,68.4,0,0,83.16,83.16,0,0,0,319.66
94,pre_y2016,0,136.08,0,0,0,211.86,0,0,0,65.4,0,48,0,0,68.4,48
95,pre_y2016,0,0,0,67.2,0,0,0,50.39,0,0,0,0,0,0,0,0
96,pre_y2016,0,0,0,13.31,0,14.4,13.86,0,0,12,0,0,0,41.99,62.16,14.4
97,pre_y2016,0,0,0,240,0,0,0,0,107.28,0,0,177.6,0,0,0,95.98
98,pre_y2016,0,0,26.71,0,0,0,0,0,0,0,0,0,0,0,0,0
99,pre_y2016,30.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,pre_y2016,0,201.54,0,0,61.18,0,0,0,0,0,0,0,0,0,0,0
101,pre_y2016,0,41.99,59.99,502.75,191.69,261.56,163.18,116.39,57.58,326.22,0,107.4,193.68,58.8,0,59.98
102,pre_y2016,0,0,116.1,0,0,35.98,0,0,0,0,0,0,167.99,0,79.19,679.68
103,pre_y2016,0,251.88,349.9,0,0,141.86,81,43.2,19.44,165.6,59.98,0,0,0,118.8,0
104,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.99
105,pre_y2016,0,0,0,0,0,33.59,0,0,0,0,0,0,0,0,164.88,0
106,pre_y2016,63.06,19.73,97.18,10.76,0,45.97,36.23,30.16,0,0,0,103.86,0,0,442.6,29.21
107,pre_y2016,64.78,80.98,0,35.99,0,0,0,0,0,0,50.4,0,179.93,77.4,0,0
108,pre_y2016,0,0,0,0,236.88,0,0,0,0,0,0,0,0,0,0,0
109,pre_y2016,0,0,120.68,0,0,0,0,162.6,0,0,0,0,0,0,0,0
110,pre_y2016,0,0,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0
111,pre_y2016,0,0,0,331.1,206.34,0,0,0,0,0,0,0,0,0,0,0
112,pre_y2016,0,0,0,132,120.96,0,0,0,0,189.11,0,102,0,0,0,0
113,pre_y2016,0,0,0,0,142.56,0,0,0,0,0,0,0,0,0,0,0
114,pre_y2016,0,0,17.99,120,0,109.2,0,28.8,0,0,10.92,192.6,29.99,0,0,111.59
115,pre_y2016,0,0,0,0,0,0,0,230.16,0,0,141.96,0,0,0,0,0
116,pre_y2016,0,0,0,0,0,0,0,0,0,0,33.6,0,0,0,0,0
117,pre_y2016,0,0,0,0,13.31,0,0,21.49,0,0,0,0,0,0,0,0
118,pre_y2016,0,0,0,0,0,0,0,193.68,0,0,0,126,0,0,0,0
119,pre_y2016,0,0,0,159.6,0,0,0,0,0,0,0,0,0,0,0,225
120,pre_y2016,0,0,0,0,0,53.99,0,25.19,0,0,0,0,35.99,0,0,0
121,pre_y2016,61.09,0,175.3,0,0,0,116.28,0,0,57.98,0,30.47,0,0,186.77,0
122,pre_y2016,0,17.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,pre_y2016,0,0,45.79,0,0,0,0,0,0,0,0,0,0,0,0,0
124,pre_y2016,0,0,0,66.53,0,0,0,0,66.53,0,58.8,0,0,0,0,0
125,pre_y2016,0,0,0,0,0,81.52,0,83.99,0,0,0,0,0,0,0,0
126,pre_y2016,0,0,0,0,0,0,0,182.4,108,0,0,81.6,0,72,0,0
127,pre_y2016,0,0,88.74,0,0,0,0,0,0,368.2,0,0,0,0,0,0
128,pre_y2016,356.48,380.28,71.98,1319.94,755.69,83.98,675.12,134.98,0,0,183.35,437.76,252,0,0,409.08
129,pre_y2016,0,0,0,0,21.06,0,0,0,0,0,0,0,0,0,0,0
130,pre_y2016,0,0,0,60,0,0,0,146.94,418.67,203.96,0,87,0,0,0,155.98
131,pre_y2016,0,0,119.69,0,0,0,0,0,72,373.19,84.6,0,0,0,0,26.99
132,pre_y2016,0,0,0,175.48,0,0,0,266.88,0,0,0,0,0,0,0,0
133,pre_y2016,0,0,0,36,0,0,0,100.8,0,0,0,78,83.98,0,0,0
134,pre_y2016,0,57.59,0,88.2,0,0,132.58,0,0,0,0,0,0,0,0,0
135,pre_y2016,436.27,0,0,299.9,605.17,168.96,118.2,103.48,396.59,0,176.33,444.6,109.2,169.8,416.56,738.25
136,pre_y2016,0,0,0,316.54,0,94.03,0,0,0,0,0,192.01,0,0,0,0
137,pre_y2016,0,0,0,0,0,0,0,60.14,494.32,0,0,0,0,0,0,0
138,pre_y2016,26.99,0,91.15,0,0,0,0,0,0,0,32.4,0,0,0,0,0
139,pre_y2016,142.72,0,128.34,0,262.75,50.4,0,100.8,30.44,38.38,0,138.77,0,0,0,64.26
140,pre_y2016,0,0,0,201.6,0,0,0,0,0,0,0,230.4,309.11,131.38,0,261.59
141,pre_y2016,0,0,0,0,0,42,0,179.98,0,0,0,100.8,0,0,0,133.8
142,pre_y2016,0,0,0,0,0,0,0,57.6,0,0,0,117,0,0,0,0
143,pre_y2016,0,0,0,47.98,0,0,0,0,0,0,0,0,0,0,0,0
144,pre_y2016,0,0,98.96,1074.42,42,0,0,306,369.22,197.87,0,36,154.8,0,84,268.8
145,pre_y2016,0,0,0,30.59,0,0,0,0,0,0,0,0,0,0,0,0
146,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,179.28,0,0,0,0
147,pre_y2016,0,0,0,0,0,0,0,0,0,0,377.88,0,0,0,50.5,0
148,pre_y2016,0,0,0,0,0,0,0,78.68,0,0,0,96,0,0,0,0
149,pre_y2016,0,0,0,0,0,0,636.54,0,0,286.69,107.98,0,0,0,0,0
150,pre_y2016,35.99,0,0,41.4,0,0,0,71.98,0,0,0,0,167.95,0,110.36,0
151,pre_y2016,0,87.56,67.18,0,0,0,38.36,0,0,0,0,244.73,155.95,0,0,112.15
152,pre_y2016,0,0,0,25.88,0,56.96,0,0,0,0,0,74.98,0,0,0,0
153,pre_y2016,53.71,0,40.08,71.7,249.17,32.23,207.8,265.18,63.79,45.5,0,154.64,75.5,27.9,0,0
154,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,128.27,0,0,0
155,pre_y2016,0,0,0,0,163.88,0,0,0,0,0,0,0,0,0,0,0
156,pre_y2016,0,47.99,0,59.98,0,0,0,0,0,0,0,0,0,119.81,0,0
157,pre_y2016,0,0,0,0,0,0,0,290.33,123.82,0,71.36,0,0,0,50.48,158.08
158,pre_y2016,0,0,0,0,0,82.49,0,0,0,107.98,0,43.19,0,43.18,0,173.38
159,pre_y2016,0,0,0,50.4,0,0,0,131.93,0,0,0,124,0,0,0,0
160,pre_y2016,0,80.98,0,563.98,0,0,0,499.18,474.07,0,0,0,0,0,0,0
161,pre_y2016,120,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0
162,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
163,pre_y2016,0,0,296.92,117.6,0,0,0,0,0,0,0,0,0,0,343.04,0
164,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,433.15,0,0,0,0
165,pre_y2016,0,17.98,0,63,0,0,0,0,0,0,0,0,0,0,0,0
166,pre_y2016,0,35.99,0,0,0,0,0,99,0,0,0,0,0,0,0,0
167,pre_y2016,0,0,0,0,0,0,0,86.36,0,0,0,0,0,0,0,9
168,pre_y2016,0,116.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.16,0
170,pre_y2016,57.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
171,pre_y2016,0,570.4,0,358.78,309.82,0,0,292.64,0,0,11.99,0,839.16,174,0,0
172,pre_y2016,0,0,0,0,0,110.39,0,0,0,0,0,0,0,0,0,0
173,pre_y2016,0,0,0,0,0,0,0,149.4,0,0,0,0,0,0,0,0
174,pre_y2016,0,0,0,93.6,0,0,0,0,0,0,0,0,17.99,38.99,0,0
175,pre_y2016,0,0,0,40.19,0,0,0,0,0,0,0,109.12,0,0,0,35.21
176,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,36,0,0,96.6,23.99
177,pre_y2016,0,0,0,71.28,0,0,0,0,143.99,0,0,0,0,0,0,0
178,pre_y2016,0,23.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,pre_y2016,0,0,0,91.01,0,0,302.74,0,0,0,28.79,0,490.68,0,230.95,0
180,pre_y2016,0,0,84.73,109.92,0,0,0,0,0,0,0,505.78,0,0,0,0
181,pre_y2016,122.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0
183,pre_y2016,57.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,pre_y2016,30.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,pre_y2016,59.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,pre_y2016,0,0,0,0,0,0,143.1,0,0,57.59,0,0,0,0,0,0
187,pre_y2016,0,0,0,0,0,0,0,191.99,0,0,0,0,0,0,0,385.76
188,pre_y2016,28.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,pre_y2016,0,144.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,pre_y2016,0,0,0,157.19,0,0,0,212.99,0,0,0,0,0,0,0,0
191,pre_y2016,0,0,44.96,0,0,0,59.96,0,0,29.99,19.78,101.36,0,0,0,25.49
192,pre_y2016,0,0,0,263.28,0,0,0,0,0,0,0,0,0,0,0,0
193,pre_y2016,0,116.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,pre_y2016,0,0,0,0,0,57.6,90.3,0,0,0,0,0,0,0,0,83.16
195,pre_y2016,0,72,0,23.99,0,47.99,59.99,0,0,78,0,104.38,0,145.18,171.6,306.72
196,pre_y2016,0,0,87.19,79.18,0,0,40.48,0,50.4,0,0,0,0,0,0,0
197,pre_y2016,0,0,0,0,35.99,0,115.2,0,0,292.8,0,0,0,0,0,0
198,pre_y2016,0,0,115.2,0,0,0,0,0,0,0,0,162,0,0,0,0
199,pre_y2016,0,0,0,0,0,0,0,759.95,193.19,0,0,0,0,0,134.99,1293.84
200,pre_y2016,0,118.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,pre_y2016,65.96,0,401.99,747.6,171.96,141.56,45,0,0,155.95,54.6,139.19,0,0,0,42
202,pre_y2016,0,0,0,0,57.6,0,0,121.68,263.98,142.8,0,129,280.18,59.4,0,0
203,pre_y2016,0,0,0,115.2,0,0,0,54,0,0,0,0,0,0,0,0
204,pre_y2016,217.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
205,pre_y2016,0,0,34.68,0,0,0,0,34,0,0,0,0,0,0,0,0
206,pre_y2016,95.99,0,58.8,0,47.52,0,0,0,0,0,0,0,0,0,0,0
207,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19,205.28,0
208,pre_y2016,0,0,0,0,0,0,63.34,73.16,0,0,28.78,54,0,0,70.76,0
209,pre_y2016,0,0,0,0,0,0,0,0,0,100.76,0,0,0,0,0,0
210,pre_y2016,0,0,0,121.79,0,0,0,32.4,0,0,0,0,0,0,0,0
211,pre_y2016,0,0,0,0,17.99,0,0,0,0,0,0,143.96,0,0,0,0
212,pre_y2016,0,0,200.29,0,0,0,0,255.12,0,28.79,0,0,0,0,0,0
213,pre_y2016,0,0,0,0,0,0,0,29.99,119.98,0,0,0,0,11.99,0,39.59
214,pre_y2016,53.99,0,0,180,0,0,0,0,0,0,0,144,0,0,0,0
215,pre_y2016,0,0,71.99,0,0,0,0,0,0,0,0,0,0,0,0,0
216,pre_y2016,0,0,39.95,33,0,0,0,0,0,0,0,0,0,0,0,0
217,pre_y2016,0,0,107.98,0,0,0,0,0,0,0,0,0,0,0,0,0
218,pre_y2016,0,0,0,0,44.4,0,0,0,0,0,0,0,0,0,0,0
219,pre_y2016,313.07,400.62,125.93,47.98,0,47.99,0,0,97.18,0,0,0,0,0,0,18
220,pre_y2016,129.58,0,0,75.59,0,0,0,0,0,0,0,0,0,0,0,0
221,pre_y2016,0,0,0,123.48,0,0,0,0,0,0,0,0,0,0,0,43.2
222,pre_y2016,0,0,0,122.57,223.19,145.67,0,312.76,0,0,0,0,0,0,0,0
223,pre_y2016,133.57,0,42,0,0,0,0,161.26,0,0,0,0,34.8,0,0,0
224,pre_y2016,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0
225,pre_y2016,0,0,0,0,0,65.99,0,0,0,0,0,0,0,0,41.99,0
226,pre_y2016,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0
227,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.2
228,pre_y2016,0,93.6,304.8,96,253.19,0,0,0,0,0,0,0,0,0,0,0
229,pre_y2016,0,0,71.98,0,0,0,0,0,0,0,50.4,0,0,0,0,0
230,pre_y2016,254.41,0,0,0,0,120.65,0,300.46,0,0,0,0,112.09,0,0,133.52
231,pre_y2016,162,131.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,pre_y2016,425.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,pre_y2016,26.99,0,0,0,79.8,0,0,0,0,0,0,0,0,0,0,0
234,pre_y2016,0,0,0,0,0,0,0,0,0,0,143.96,0,0,0,0,121.18
235,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
236,pre_y2016,0,204.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,pre_y2016,0,0,0,30,0,0,0,0,0,0,26.62,0,0,0,0,36
238,pre_y2016,0,0,112.37,0,0,0,0,72.38,0,0,0,0,0,0,0,0
239,pre_y2016,0,0,0,63.58,28.8,58.8,0,30.23,36,19.32,42,27,224.4,72.12,71.98,351.12
240,pre_y2016,79.15,0,0,0,0,0,0,1131.94,0,0,0,0,0,0,0,0
241,pre_y2016,0,0,53.96,118.8,0,0,0,0,0,195.84,0,0,0,0,58.8,0
242,pre_y2016,191.98,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,pre_y2016,0,0,0,42,0,0,0,0,0,0,0,0,0,52.78,14.39,91.18
244,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.2,0
245,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,107.99,106.18,0,0,0
246,pre_y2016,0,0,0,0,0,0,0,119.98,0,0,0,0,0,0,0,79.2
247,pre_y2016,0,0,53.98,23.99,0,65.98,0,0,0,0,64.8,0,0,0,50.4,0
248,pre_y2016,35.63,197.36,0,69.44,0,0,83.33,176.59,0,141.9,0,0,200.8,39.3,74.47,0
249,pre_y2016,75.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
250,pre_y2016,0,180.3,0,120,0,0,0,119.4,0,0,0,0,0,0,0,0
251,pre_y2016,0,0,0,0,351.55,0,0,0,0,0,0,0,0,0,0,0
252,pre_y2016,0,0,0,16.79,0,0,0,0,0,0,0,0,0,0,0,0
253,pre_y2016,96.83,0,29.99,0,0,23.98,33.6,35.99,0,0,0,55.18,0,31.18,0,0
254,pre_y2016,0,52.78,0,0,0,0,0,0,18.58,0,0,38.4,0,0,0,0
255,pre_y2016,292.76,92.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
256,pre_y2016,134.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,pre_y2016,0,0,29.99,0,0,0,0,0,0,165.6,67.2,0,0,100.07,0,0
258,pre_y2016,0,0,0,0,0,0,12,0,57.6,0,15,0,0,14.99,0,0
259,pre_y2016,156,0,0,0,0,0,89.99,0,0,0,0,0,0,0,0,0
260,pre_y2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.18,0
261,pre_y2016,0,0,0,14.4,0,47.99,0,0,0,0,0,0,0,0,0,0
262,pre_y2016,47.5,0,0,0,0,0,0,0,0,0,0,23.98,0,0,18,0
263,pre_y2016,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0
264,pre_y2016,74.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.2
265,pre_y2016,41.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,pre_y2016,0,0,0,42.94,0,0,0,297.24,241.61,112.72,132.21,0,104.39,134.39,18,30.59
